Reference,Value,Datasheet,Qty,DNP,Footprint,MPN,LCSC
"C1,C2",10u,,2,,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,CL05A106MP5NUNC,C315248
"C3,C14",1u,,2,,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,CL05A105KO5NNNC,C29266
"C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C15,C16,C17,C20",100n,,14,,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,CL05B104KP5VPNC,C16193311
"C18,C19",15p,,2,,Capacitor_SMD:C_0402_1005Metric,CL05C150JB5NNNC,C86285
J5,USB_C_Receptacle_USB2.0_14P,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,1,,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12,C165948
"R1,R2",27R,,2,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,RCS1005J270CS,C11702
"R3,R7",1k,,2,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,TC0225B1001TCC,C2989674
"R5,R6",5k1,,2,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,0402WGF5101TCE,C25905
"R8,R9,R10",27kR,,3,,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,CRCW040227R0JNED,
U1,RP2040,,1,,custom:RP2040-QFN-56,RP2040,C2040
U2,NCP1117-3.3_SOT223,http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF,1,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,NCP1117STAT3G,C20546
U3,W25Q128JVS,https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf,1,,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm,W25Q128JVSIQ,C97521
Y1,ABM8-272-T3,,1,,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,ABM8-272-T3,C2842186
