Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10u,C315248
"C10, C11, C12, C13, C15, C4, C5, C6, C7, C8, C9",0402,11,100n,C16193311
"C14, C3",0402,2,1u,C29266
"C18, C19",0402,2,15p,C86285
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"R1, R2",0402,2,27R,C11702
"R3, R7",0402,2,1k,C2989674
"R5, R6",0402,2,5k1,C25905
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C20546
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C2842186
