Designator,Mid X,Mid Y,Rotation,Layer
C1,48.5,-237.25,270.0,top
C10,355.4,-331.7675,90.0,bottom
C11,356.4,-331.7675,90.0,bottom
C12,359.8325,-327.0,0.0,bottom
C13,357.65,-331.7,90.0,bottom
C14,360.0,-323.25,90.0,top
C15,362.4325,-326.0,0.0,top
C16,371.3,-255.0325,90.0,top
C17,368.1,-254.9975,90.0,top
C18,356.0,-334.6,270.0,top
C19,368.8,-344.7725,270.0,top
C2,344.6825,-308.25,0.0,bottom
C20,371.5,-260.0,90.0,top
C3,359.25,-323.25,90.0,top
C4,358.4,-336.4,270.0,top
C5,357.4,-334.4325,270.0,top
C6,358.65,-331.7,90.0,bottom
C7,359.765,-328.0,0.0,bottom
C8,359.8325,-329.0,0.0,bottom
C9,359.8325,-330.0,0.0,bottom
J5,46.11,-231.0,180.0,top
R1,357.5,-322.8475,90.0,top
R10,371.5,-260.0025,90.0,bottom
R2,358.5,-322.8475,270.0,top
R3,366.1525,-325.0,0.0,top
R5,47.5,-237.3475,90.0,top
R6,44.25,-237.25,90.0,top
R7,367.8,-345.0025,90.0,top
R8,368.1,-254.9975,270.0,bottom
R9,371.3,-255.0025,90.0,bottom
SW1,366.981,-245.4,180.0,top
U1,356.9,-328.5625,0.0,top
U2,347.0,-312.5,180.0,bottom
U3,359.25,-308.75,270.0,top
Y1,367.75,-341.6525,270.0,top
